                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6458,                 2.4597,                 1.6138,                 1.4529,                 4.3602,                 1.4579,                0.00865,                0.57291,                0.16043,                0.07384,                 1.6622,                 3.3191,                 1.6802,                 1.3722,                 6.7318,                 1.5332,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.6925,                 1.8302,                 1.5933,                 1.5176,                 3.7245,                 1.4768,                0.80796,                0.11815,                0.29203,                0.12949,                 1.8915,                 2.5301,                 1.9189,                 1.6118,                 6.0069,                 1.7616,             0.00092408,             0.00092408,             0.00092408
                      3,                 1.7176,                 1.8268,                 1.6263,                 1.6154,                 3.4264,                 1.5428,                0.63579,                0.29448,                0.27986,                0.09806,                 2.1959,                  2.665,                 2.1623,                 2.0323,                 5.4634,                 2.0649,              0.0013629,              0.0013629,              0.0013629
